data_inizio,data_fine,delay,frequenza_delay
2020-03-31,2020-03-31,23,-1
2020-04-17,2020-04-17,2,-1
2020-04-18,2020-04-18,11,-1
2020-04-19,2020-04-19,1,-1
2020-05-01,2020-05-01,9,-1
2020-09-07,2020-09-07,3,-1
2020-09-09,2020-09-09,4,-1
2020-09-10,2020-09-10,14,-1
2020-09-29,2020-09-29,15,-1
2020-10-01,2020-10-01,15,-1
2020-10-16,2020-10-16,2,-1
2020-10-18,2020-10-18,3,-1
2020-10-22,2020-10-22,3,-1
2020-10-23,2020-10-23,2,-1
2020-10-24,2020-10-24,2,-1
2020-10-28,2020-10-28,5,-1
2020-10-28,2020-10-28,8,-1
2020-10-29,2020-10-29,1,-1
2020-10-31,2020-10-31,3,-1
2020-11-01,2020-11-01,10,-1
2020-11-04,2020-11-04,1,-1
2020-11-05,2020-11-05,1,-1
2020-11-05,2020-11-05,53,-1
2020-11-06,2020-11-06,3,-1
2020-11-09,2020-11-09,5,-1
2020-11-09,2020-11-09,7,-1
2020-11-10,2020-11-10,14,-1
2020-11-11,2020-11-11,13,-1
2020-11-16,2020-11-16,43,-1
2020-11-18,2020-11-18,3,-1
2020-11-19,2020-11-19,2,-1
2020-11-20,2020-11-20,22,-1
2020-11-23,2020-11-23,2,-1
2020-11-23,2020-11-23,25,-1
2020-11-25,2020-11-25,9,-1
2020-11-26,2020-11-26,14,-1
2020-11-30,2020-11-30,1,-1
2020-12-03,2020-12-03,2,-1
