data_inizio,data_fine,delay,frequenza_delay,binned_frequenza_delay
2020-01-01,2020-04-30,19,0.04844655081621906,0.04867724867724868
2020-01-01,2020-04-30,16,0.051606108478146395,0.05185185185185185
2020-01-01,2020-04-30,15,0.053712480252764615,0.05396825396825397
2020-01-01,2020-04-30,9,0.04844655081621906,0.04867724867724868
2020-01-01,2020-04-30,8,0.052132701421800945,0.05238095238095238
2020-01-01,2020-04-30,5,0.05529225908372828,0.05555555555555555
2020-01-01,2020-04-30,12,0.052132701421800945,0.05238095238095238
2020-01-01,2020-04-30,18,0.045813586097946286,0.046031746031746035
2020-01-01,2020-04-30,4,0.04107424960505529,0.04126984126984127
2020-01-01,2020-04-30,7,0.047919957872564506,0.04814814814814815
2020-01-01,2020-04-30,17,0.05318588730911006,0.05343915343915344
2020-01-01,2020-04-30,11,0.049499736703528176,0.04973544973544974
2020-01-01,2020-04-30,14,0.05845181674565561,0.05873015873015873
2020-01-01,2020-04-30,10,0.05529225908372828,0.05555555555555555
2020-01-01,2020-04-30,20,0.04160084254870985,0.0417989417989418
2020-01-01,2020-04-30,6,0.05055292259083728,0.050793650793650794
2020-01-01,2020-04-30,2,0.02632964718272775,0.026455026455026454
2020-01-01,2020-04-30,13,0.0468667719852554,0.04708994708994709
2020-01-01,2020-04-30,24,0.004739336492890996,0.004761904761904762
2020-01-01,2020-04-30,3,0.03528172722485519,0.035449735449735446
2020-01-01,2020-04-30,21,0.022643496577145865,0.02275132275132275
2020-01-01,2020-04-30,22,0.016324381253291206,0.0164021164021164
2020-01-01,2020-04-30,25,0.00315955766192733,0.0031746031746031746
2020-01-01,2020-04-30,1,0.013164823591363875,0.013227513227513227
2020-01-01,2020-04-30,48,0.000526592943654555,0.0005291005291005291
2020-01-01,2020-04-30,23,0.008952080042127435,0.008994708994708995
2020-01-01,2020-04-30,152,0.000526592943654555,0.0005291005291005291
2020-01-01,2020-04-30,34,0.001579778830963665,0.0015873015873015873
2020-01-01,2020-04-30,47,0.000526592943654555,0.0005291005291005291
2020-01-01,2020-04-30,29,0.001579778830963665,0.0015873015873015873
2020-01-01,2020-04-30,42,0.00105318588730911,0.0010582010582010583
2020-01-01,2020-04-30,26,0.00421274354923644,0.004232804232804233
2020-01-01,2020-04-30,32,0.000526592943654555,0.0005291005291005291
2020-01-01,2020-04-30,268,0.000526592943654555,0.0005291005291005291
2020-01-01,2020-04-30,33,0.00105318588730911,0.0010582010582010583
2020-01-01,2020-04-30,45,0.000526592943654555,0.0005291005291005291
2020-08-30,2020-12-28,73,0.000526592943654555,0.1111111111111111
2020-08-30,2020-12-28,78,0.000526592943654555,0.1111111111111111
2020-08-30,2020-12-28,28,0.00105318588730911,0.2222222222222222
2020-08-30,2020-12-28,31,0.000526592943654555,0.1111111111111111
2020-08-30,2020-12-28,38,0.000526592943654555,0.1111111111111111
2020-08-30,2020-12-28,27,0.001579778830963665,0.3333333333333333
