data_inizio,data_fine,delay,frequenza_delay,binned_frequenza_delay
2020-03-21,2020-03-28,14,0.03333333333333333,1.0
2020-05-24,2020-05-31,24,0.03333333333333333,1.0
2020-07-19,2020-07-26,11,0.1,1.0
2020-08-12,2020-08-19,9,0.1,1.0
2020-09-29,2020-10-06,48,0.03333333333333333,1.0
2020-10-07,2020-10-14,3,0.1,1.0
2020-10-15,2020-10-22,1,0.06666666666666667,0.5
2020-10-15,2020-10-22,21,0.06666666666666667,0.5
2020-10-23,2020-10-30,5,0.03333333333333333,0.5
2020-10-23,2020-10-30,17,0.03333333333333333,0.5
2020-10-31,2020-11-07,6,0.1,0.42857142857142855
2020-10-31,2020-11-07,13,0.03333333333333333,0.14285714285714285
2020-10-31,2020-11-07,15,0.03333333333333333,0.14285714285714285
2020-10-31,2020-11-07,4,0.06666666666666667,0.2857142857142857
2020-11-08,2020-11-15,39,0.03333333333333333,0.5
2020-11-08,2020-11-15,49,0.03333333333333333,0.5
2020-11-16,2020-11-23,8,0.03333333333333333,0.3333333333333333
2020-11-16,2020-11-23,2,0.06666666666666667,0.6666666666666666
