data_inizio,data_fine,delay,frequenza_delay,binned_frequenza_delay
2020-03-07,2020-03-07,8,0.02508361204013378,1.0
2020-03-10,2020-03-10,2,0.061872909698996656,1.0
2020-03-13,2020-03-13,3,0.05852842809364549,1.0
2020-03-17,2020-03-17,26,0.010033444816053512,1.0
2020-03-19,2020-03-19,28,0.013377926421404682,0.19047619047619047
2020-03-19,2020-03-19,6,0.03511705685618729,0.5
2020-03-19,2020-03-19,11,0.021739130434782608,0.30952380952380953
2020-03-21,2020-03-21,0,0.0802675585284281,1.0
2020-03-22,2020-03-22,4,0.043478260869565216,1.0
2020-03-23,2020-03-23,50,0.005016722408026756,0.075
2020-03-23,2020-03-23,57,0.0016722408026755853,0.025
2020-03-23,2020-03-23,17,0.026755852842809364,0.4
2020-03-23,2020-03-23,18,0.023411371237458192,0.35
2020-03-23,2020-03-23,22,0.010033444816053512,0.15
2020-03-24,2020-03-24,7,0.03177257525083612,0.7916666666666666
2020-03-24,2020-03-24,35,0.008361204013377926,0.20833333333333334
2020-03-26,2020-03-26,41,0.010033444816053512,0.14285714285714285
2020-03-26,2020-03-26,19,0.021739130434782608,0.30952380952380953
2020-03-26,2020-03-26,9,0.03511705685618729,0.5
2020-03-26,2020-03-26,62,0.0033444816053511705,0.047619047619047616
2020-03-27,2020-03-27,12,0.021739130434782608,1.0
2020-03-28,2020-03-28,27,0.016722408026755852,1.0
2020-03-29,2020-03-29,23,0.008361204013377926,0.054945054945054944
2020-03-29,2020-03-29,5,0.048494983277591976,0.31868131868131866
2020-03-29,2020-03-29,1,0.09531772575250837,0.6263736263736264
2020-03-31,2020-03-31,14,0.02508361204013378,1.0
2020-04-04,2020-04-04,43,0.005016722408026756,1.0
2020-04-05,2020-04-05,39,0.005016722408026756,1.0
2020-04-09,2020-04-09,13,0.030100334448160536,0.5
2020-04-09,2020-04-09,10,0.030100334448160536,0.5
2020-04-19,2020-04-19,31,0.005016722408026756,1.0
2020-04-21,2020-04-21,15,0.023411371237458192,1.0
2020-04-26,2020-04-26,37,0.008361204013377926,1.0
2020-09-12,2020-09-12,24,0.011705685618729096,1.0
2020-09-30,2020-09-30,21,0.010033444816053512,1.0
2020-10-05,2020-10-05,36,0.005016722408026756,1.0
2020-10-15,2020-10-15,30,0.015050167224080268,1.0
2020-10-17,2020-10-17,45,0.006688963210702341,0.4
2020-10-17,2020-10-17,20,0.010033444816053512,0.6
2020-10-20,2020-10-20,56,0.0033444816053511705,1.0
2020-10-23,2020-10-23,29,0.015050167224080268,1.0
2020-10-24,2020-10-24,16,0.02508361204013378,1.0
2020-10-29,2020-10-29,25,0.005016722408026756,0.75
2020-10-29,2020-10-29,58,0.0016722408026755853,0.25
2020-10-31,2020-10-31,38,0.0033444816053511705,1.0
2020-11-02,2020-11-02,52,0.005016722408026756,0.6
2020-11-02,2020-11-02,48,0.0033444816053511705,0.4
2020-11-04,2020-11-04,34,0.008361204013377926,1.0
2020-11-05,2020-11-05,44,0.0033444816053511705,1.0
2020-11-08,2020-11-08,49,0.0033444816053511705,1.0
2020-11-09,2020-11-09,32,0.0016722408026755853,1.0
2020-11-10,2020-11-10,47,0.0033444816053511705,1.0
2020-11-12,2020-11-12,33,0.005016722408026756,1.0
2020-11-15,2020-11-15,42,0.0016722408026755853,1.0
2020-11-17,2020-11-17,40,0.0033444816053511705,1.0
