data_inizio,data_fine,delay,frequenza_delay
2020-03-15,2020-03-16,1,0.0027149321266968325
2020-03-15,2020-03-16,78,0.0009049773755656109
2020-03-15,2020-03-16,51,0.0009049773755656109
2020-03-15,2020-03-16,70,0.0009049773755656109
2020-03-15,2020-03-16,53,0.0009049773755656109
2020-03-15,2020-03-16,104,0.0009049773755656109
2020-03-16,2020-03-17,0,0.0036199095022624436
2020-03-16,2020-03-17,40,0.0009049773755656109
2020-03-16,2020-03-17,18,0.0009049773755656109
2020-03-16,2020-03-17,62,0.0009049773755656109
2020-03-16,2020-03-17,60,0.0009049773755656109
2020-03-16,2020-03-17,42,0.0009049773755656109
2020-03-17,2020-03-18,29,0.0018099547511312218
2020-03-17,2020-03-18,54,0.0009049773755656109
2020-03-17,2020-03-18,63,0.0009049773755656109
2020-03-17,2020-03-18,58,0.0009049773755656109
2020-03-18,2020-03-19,68,0.0009049773755656109
2020-03-18,2020-03-19,57,0.0009049773755656109
2020-03-19,2020-03-20,3,0.0027149321266968325
2020-03-19,2020-03-20,79,0.0009049773755656109
2020-03-19,2020-03-20,37,0.0009049773755656109
2020-03-20,2020-03-21,17,0.0018099547511312218
2020-03-20,2020-03-21,115,0.0009049773755656109
2020-03-20,2020-03-21,36,0.0009049773755656109
2020-03-20,2020-03-21,75,0.0009049773755656109
2020-03-21,2020-03-22,1,0.004524886877828055
2020-03-21,2020-03-22,82,0.0009049773755656109
2020-03-21,2020-03-22,101,0.0009049773755656109
2020-03-21,2020-03-22,55,0.0009049773755656109
2020-03-21,2020-03-22,33,0.0009049773755656109
2020-03-22,2020-03-23,28,0.0018099547511312218
2020-03-22,2020-03-23,112,0.0018099547511312218
2020-03-22,2020-03-23,61,0.0009049773755656109
2020-03-22,2020-03-23,91,0.0009049773755656109
2020-03-22,2020-03-23,41,0.0009049773755656109
2020-03-22,2020-03-23,111,0.0009049773755656109
2020-03-22,2020-03-23,81,0.0009049773755656109
2020-03-22,2020-03-23,233,0.0009049773755656109
2020-03-22,2020-03-23,140,0.0009049773755656109
2020-03-22,2020-03-23,64,0.0009049773755656109
2020-03-22,2020-03-23,98,0.0009049773755656109
2020-03-23,2020-03-24,10,0.0018099547511312218
2020-03-23,2020-03-24,102,0.0009049773755656109
2020-03-24,2020-03-25,4,0.0036199095022624436
2020-03-24,2020-03-25,56,0.0009049773755656109
2020-03-25,2020-03-26,0,0.008144796380090498
2020-03-25,2020-03-26,77,0.0009049773755656109
2020-03-25,2020-03-26,67,0.0009049773755656109
2020-03-26,2020-03-27,1,0.0027149321266968325
2020-03-26,2020-03-27,172,0.0009049773755656109
2020-03-26,2020-03-27,88,0.0009049773755656109
2020-03-27,2020-03-28,0,0.01085972850678733
2020-03-27,2020-03-28,80,0.0009049773755656109
2020-03-27,2020-03-28,277,0.0009049773755656109
2020-03-27,2020-03-28,129,0.0009049773755656109
2020-03-27,2020-03-28,191,0.0009049773755656109
2020-03-28,2020-03-29,18,0.0009049773755656109
2020-03-28,2020-03-29,94,0.0009049773755656109
2020-03-28,2020-03-29,153,0.0009049773755656109
2020-03-29,2020-03-30,0,0.004524886877828055
2020-03-29,2020-03-30,141,0.0009049773755656109
2020-03-29,2020-03-30,119,0.0009049773755656109
2020-03-29,2020-03-30,43,0.0009049773755656109
2020-03-30,2020-03-31,3,0.005429864253393665
2020-03-30,2020-03-31,72,0.0009049773755656109
2020-03-30,2020-03-31,83,0.0009049773755656109
2020-03-31,2020-04-01,2,0.00904977375565611
2020-03-31,2020-04-01,171,0.0009049773755656109
2020-03-31,2020-04-01,107,0.0009049773755656109
2020-04-01,2020-04-02,6,0.004524886877828055
2020-04-01,2020-04-02,196,0.0009049773755656109
2020-04-02,2020-04-03,13,0.0036199095022624436
2020-04-02,2020-04-03,261,0.0009049773755656109
2020-04-02,2020-04-03,84,0.0009049773755656109
2020-04-03,2020-04-04,10,0.0027149321266968325
2020-04-03,2020-04-04,229,0.0009049773755656109
2020-04-03,2020-04-04,99,0.0009049773755656109
2020-04-04,2020-04-05,122,0.0009049773755656109
2020-04-04,2020-04-05,105,0.0009049773755656109
2020-04-04,2020-04-05,73,0.0009049773755656109
2020-04-05,2020-04-06,11,0.0036199095022624436
2020-04-05,2020-04-06,121,0.0009049773755656109
2020-04-06,2020-04-07,1,0.0036199095022624436
2020-04-06,2020-04-07,157,0.0009049773755656109
2020-04-06,2020-04-07,226,0.0009049773755656109
2020-04-06,2020-04-07,92,0.0009049773755656109
2020-04-07,2020-04-08,5,0.0036199095022624436
2020-04-07,2020-04-08,130,0.0009049773755656109
2020-04-07,2020-04-08,247,0.0009049773755656109
2020-04-08,2020-04-09,56,0.0009049773755656109
2020-04-08,2020-04-09,118,0.0009049773755656109
2020-04-08,2020-04-09,114,0.0009049773755656109
2020-04-08,2020-04-09,265,0.0009049773755656109
2020-04-08,2020-04-09,71,0.0009049773755656109
2020-04-08,2020-04-09,199,0.0009049773755656109
2020-04-09,2020-04-10,0,0.014479638009049774
2020-04-09,2020-04-10,263,0.0009049773755656109
2020-04-09,2020-04-10,128,0.0009049773755656109
2020-04-10,2020-04-11,63,0.0009049773755656109
2020-04-10,2020-04-11,161,0.0009049773755656109
2020-04-10,2020-04-11,87,0.0009049773755656109
2020-04-10,2020-04-11,187,0.0009049773755656109
2020-04-10,2020-04-11,241,0.0009049773755656109
2020-04-10,2020-04-11,133,0.0009049773755656109
2020-04-11,2020-04-12,0,0.019004524886877826
2020-04-11,2020-04-12,183,0.0009049773755656109
2020-04-11,2020-04-12,116,0.0009049773755656109
2020-04-11,2020-04-12,145,0.0009049773755656109
2020-04-12,2020-04-13,8,0.0036199095022624436
2020-04-12,2020-04-13,163,0.0009049773755656109
2020-04-12,2020-04-13,86,0.0009049773755656109
2020-04-12,2020-04-13,109,0.0009049773755656109
2020-04-12,2020-04-13,100,0.0009049773755656109
2020-04-13,2020-04-14,2,0.008144796380090498
2020-04-13,2020-04-14,123,0.0009049773755656109
2020-04-13,2020-04-14,149,0.0009049773755656109
2020-04-13,2020-04-14,85,0.0009049773755656109
2020-04-14,2020-04-15,0,0.009954751131221719
2020-04-14,2020-04-15,132,0.0009049773755656109
2020-04-14,2020-04-15,142,0.0009049773755656109
2020-04-15,2020-04-16,31,0.0027149321266968325
2020-04-15,2020-04-16,125,0.0009049773755656109
2020-04-15,2020-04-16,258,0.0009049773755656109
2020-04-16,2020-04-17,179,0.0009049773755656109
2020-04-17,2020-04-18,4,0.005429864253393665
2020-04-17,2020-04-18,254,0.0009049773755656109
2020-04-18,2020-04-19,24,0.0018099547511312218
2020-04-18,2020-04-19,90,0.0009049773755656109
2020-04-19,2020-04-20,1,0.0036199095022624436
2020-04-19,2020-04-20,93,0.0009049773755656109
2020-04-20,2020-04-21,3,0.014479638009049774
2020-04-20,2020-04-21,131,0.0009049773755656109
2020-04-20,2020-04-21,144,0.0009049773755656109
2020-04-21,2020-04-22,23,0.0018099547511312218
2020-04-21,2020-04-22,126,0.0009049773755656109
2020-04-22,2020-04-23,38,0.0009049773755656109
2020-04-22,2020-04-23,249,0.0009049773755656109
2020-04-23,2020-04-24,2,0.006334841628959276
2020-04-23,2020-04-24,108,0.0009049773755656109
2020-04-23,2020-04-24,167,0.0009049773755656109
2020-04-24,2020-04-25,61,0.0009049773755656109
2020-04-24,2020-04-25,154,0.0009049773755656109
2020-04-25,2020-04-26,19,0.0018099547511312218
2020-04-25,2020-04-26,248,0.0009049773755656109
2020-04-26,2020-04-27,18,0.0018099547511312218
2020-04-27,2020-04-28,0,0.0027149321266968325
2020-04-28,2020-04-29,4,0.0036199095022624436
2020-04-28,2020-04-29,181,0.0009049773755656109
2020-04-29,2020-04-30,5,0.004524886877828055
2020-04-29,2020-04-30,185,0.0009049773755656109
2020-04-29,2020-04-30,244,0.0009049773755656109
2020-04-30,2020-05-01,6,0.0027149321266968325
2020-04-30,2020-05-01,165,0.0009049773755656109
2020-05-01,2020-05-02,8,0.0018099547511312218
2020-05-01,2020-05-02,136,0.0009049773755656109
2020-05-02,2020-05-03,111,0.0009049773755656109
2020-05-03,2020-05-04,1,0.0009049773755656109
2020-05-04,2020-05-05,0,0.0036199095022624436
2020-05-05,2020-05-06,4,0.0009049773755656109
2020-05-06,2020-05-07,13,0.0018099547511312218
2020-05-06,2020-05-07,169,0.0009049773755656109
2020-05-07,2020-05-08,11,0.0009049773755656109
2020-05-07,2020-05-08,205,0.0009049773755656109
2020-05-08,2020-05-09,146,0.0009049773755656109
2020-05-09,2020-05-10,22,0.0009049773755656109
2020-05-10,2020-05-11,16,0.0009049773755656109
2020-05-11,2020-05-12,14,0.0009049773755656109
2020-05-11,2020-05-12,97,0.0009049773755656109
2020-05-12,2020-05-13,5,0.0027149321266968325
2020-05-12,2020-05-13,110,0.0009049773755656109
2020-05-13,2020-05-14,1,0.0018099547511312218
2020-05-14,2020-05-15,45,0.0009049773755656109
2020-05-15,2020-05-16,1,0.0009049773755656109
2020-05-15,2020-05-16,214,0.0009049773755656109
2020-05-16,2020-05-17,12,0.0009049773755656109
2020-05-17,2020-05-18,2,0.0018099547511312218
2020-05-18,2020-05-19,10,0.0018099547511312218
2020-05-19,2020-05-20,4,0.0009049773755656109
2020-05-20,2020-05-21,0,0.0009049773755656109
2020-05-21,2020-05-22,21,0.0009049773755656109
2020-05-21,2020-05-22,189,0.0009049773755656109
2020-05-22,2020-05-23,25,0.0009049773755656109
2020-05-23,2020-05-24,17,0.0018099547511312218
2020-05-24,2020-05-25,1,0.0009049773755656109
2020-05-25,2020-05-26,26,0.0009049773755656109
2020-05-25,2020-05-26,218,0.0009049773755656109
2020-05-26,2020-05-27,3,0.0009049773755656109
2020-05-26,2020-05-27,203,0.0009049773755656109
2020-05-27,2020-05-28,0,0.0009049773755656109
2020-05-28,2020-05-29,5,0.0018099547511312218
2020-05-29,2020-05-30,9,0.0009049773755656109
2020-05-30,2020-05-31,1,0.0009049773755656109
2020-05-31,2020-06-01,25,0.0009049773755656109
2020-06-01,2020-06-02,12,0.0009049773755656109
2020-06-01,2020-06-02,162,0.0009049773755656109
2020-06-02,2020-06-03,1,0.0018099547511312218
2020-06-03,2020-06-04,5,0.0009049773755656109
2020-06-04,2020-06-05,20,0.0009049773755656109
2020-06-05,2020-06-06,12,0.0009049773755656109
2020-06-06,2020-06-07,3,0.0009049773755656109
2020-06-08,2020-06-09,6,0.0009049773755656109
2020-06-10,2020-06-11,12,0.0009049773755656109
2020-06-11,2020-06-12,41,0.0009049773755656109
2020-06-12,2020-06-13,2,0.0009049773755656109
2020-06-13,2020-06-14,7,0.0009049773755656109
2020-06-15,2020-06-16,10,0.0009049773755656109
2020-06-16,2020-06-17,69,0.0009049773755656109
2020-06-17,2020-06-18,41,0.0009049773755656109
2020-06-18,2020-06-19,0,0.0009049773755656109
2020-06-19,2020-06-20,81,0.0009049773755656109
2020-06-20,2020-06-21,1,0.0009049773755656109
2020-06-21,2020-06-22,1,0.0009049773755656109
2020-06-23,2020-06-24,6,0.0009049773755656109
2020-06-24,2020-06-25,6,0.0018099547511312218
2020-06-25,2020-06-26,0,0.0009049773755656109
2020-06-26,2020-06-27,26,0.0009049773755656109
2020-06-28,2020-06-29,1,0.0009049773755656109
2020-06-29,2020-06-30,98,0.0009049773755656109
2020-06-30,2020-07-01,6,0.0009049773755656109
2020-07-01,2020-07-02,0,0.0009049773755656109
2020-07-02,2020-07-03,3,0.0009049773755656109
2020-07-03,2020-07-04,1,0.0009049773755656109
2020-07-04,2020-07-05,22,0.0009049773755656109
2020-07-06,2020-07-07,2,0.0009049773755656109
2020-07-07,2020-07-08,0,0.0009049773755656109
2020-07-09,2020-07-10,3,0.0009049773755656109
2020-07-10,2020-07-11,19,0.0009049773755656109
2020-07-13,2020-07-14,11,0.0009049773755656109
2020-07-15,2020-07-16,36,0.0009049773755656109
2020-07-19,2020-07-20,2,0.0009049773755656109
2020-07-20,2020-07-21,39,0.0009049773755656109
2020-07-22,2020-07-23,30,0.0009049773755656109
2020-07-26,2020-07-27,3,0.0009049773755656109
2020-08-05,2020-08-06,1,0.0009049773755656109
2020-08-07,2020-08-08,3,0.0009049773755656109
2020-08-09,2020-08-10,0,0.0009049773755656109
2020-08-10,2020-08-11,19,0.0009049773755656109
2020-08-12,2020-08-13,2,0.0009049773755656109
2020-08-14,2020-08-15,2,0.0009049773755656109
2020-08-15,2020-08-16,21,0.0009049773755656109
2020-08-19,2020-08-20,1,0.0009049773755656109
2020-08-21,2020-08-22,11,0.0009049773755656109
2020-08-22,2020-08-23,30,0.0009049773755656109
2020-08-23,2020-08-24,4,0.0009049773755656109
2020-08-26,2020-08-27,0,0.0009049773755656109
2020-08-27,2020-08-28,18,0.0009049773755656109
2020-08-28,2020-08-29,81,0.0009049773755656109
2020-08-30,2020-08-31,10,0.0009049773755656109
2020-09-03,2020-09-04,6,0.0009049773755656109
2020-09-05,2020-09-06,0,0.0009049773755656109
2020-09-07,2020-09-08,2,0.0009049773755656109
2020-09-09,2020-09-10,0,0.0009049773755656109
2020-09-10,2020-09-11,0,0.0009049773755656109
2020-09-11,2020-09-12,8,0.0009049773755656109
2020-09-13,2020-09-14,1,0.0009049773755656109
2020-09-14,2020-09-15,8,0.0009049773755656109
2020-09-14,2020-09-15,106,0.0009049773755656109
2020-09-15,2020-09-16,2,0.0009049773755656109
2020-09-16,2020-09-17,3,0.0009049773755656109
2020-09-17,2020-09-18,1,0.0009049773755656109
2020-09-18,2020-09-19,45,0.0009049773755656109
2020-09-19,2020-09-20,1,0.0009049773755656109
2020-09-20,2020-09-21,2,0.0009049773755656109
2020-09-21,2020-09-22,59,0.0009049773755656109
2020-09-22,2020-09-23,20,0.0009049773755656109
2020-09-23,2020-09-24,3,0.0009049773755656109
2020-09-24,2020-09-25,6,0.0009049773755656109
2020-09-25,2020-09-26,9,0.0009049773755656109
2020-09-26,2020-09-27,55,0.0009049773755656109
2020-09-27,2020-09-28,0,0.0018099547511312218
2020-09-28,2020-09-29,45,0.0009049773755656109
2020-09-29,2020-09-30,7,0.0018099547511312218
2020-09-30,2020-10-01,0,0.0009049773755656109
2020-10-01,2020-10-02,42,0.0009049773755656109
2020-10-02,2020-10-03,9,0.0009049773755656109
2020-10-03,2020-10-04,24,0.0009049773755656109
2020-10-04,2020-10-05,13,0.0009049773755656109
2020-10-05,2020-10-06,8,0.0018099547511312218
2020-10-06,2020-10-07,84,0.0009049773755656109
2020-10-07,2020-10-08,3,0.0009049773755656109
2020-10-08,2020-10-09,22,0.0009049773755656109
2020-10-09,2020-10-10,79,0.0009049773755656109
2020-10-10,2020-10-11,34,0.0009049773755656109
2020-10-11,2020-10-12,8,0.0009049773755656109
2020-10-12,2020-10-13,0,0.0009049773755656109
2020-10-13,2020-10-14,47,0.0009049773755656109
2020-10-14,2020-10-15,37,0.0009049773755656109
2020-10-15,2020-10-16,2,0.0018099547511312218
2020-10-16,2020-10-17,23,0.0009049773755656109
2020-10-17,2020-10-18,14,0.0009049773755656109
2020-10-18,2020-10-19,72,0.0027149321266968325
2020-10-19,2020-10-20,0,0.005429864253393665
2020-10-20,2020-10-21,1,0.0027149321266968325
2020-10-21,2020-10-22,19,0.0018099547511312218
2020-10-22,2020-10-23,7,0.0027149321266968325
2020-10-23,2020-10-24,60,0.0009049773755656109
2020-10-24,2020-10-25,0,0.012669683257918552
2020-10-25,2020-10-26,15,0.0009049773755656109
2020-10-26,2020-10-27,3,0.0036199095022624436
2020-10-27,2020-10-28,2,0.01085972850678733
2020-10-28,2020-10-29,62,0.006334841628959276
2020-10-29,2020-10-30,23,0.0018099547511312218
2020-10-30,2020-10-31,10,0.0027149321266968325
2020-10-31,2020-11-01,0,0.012669683257918552
2020-11-01,2020-11-02,0,0.01085972850678733
2020-11-02,2020-11-03,21,0.0018099547511312218
2020-11-03,2020-11-04,2,0.008144796380090498
2020-11-04,2020-11-05,1,0.013574660633484163
2020-11-05,2020-11-06,18,0.004524886877828055
2020-11-06,2020-11-07,34,0.0018099547511312218
2020-11-07,2020-11-08,52,0.016289592760180997
2020-11-08,2020-11-09,32,0.0009049773755656109
2020-11-09,2020-11-10,15,0.004524886877828055
2020-11-10,2020-11-11,4,0.00904977375565611
2020-11-11,2020-11-12,17,0.0027149321266968325
2020-11-12,2020-11-13,18,0.005429864253393665
2020-11-13,2020-11-14,14,0.0027149321266968325
2020-11-14,2020-11-15,43,0.0036199095022624436
2020-11-15,2020-11-16,0,0.00904977375565611
2020-11-16,2020-11-17,2,0.017194570135746608
2020-11-17,2020-11-18,42,0.012669683257918552
2020-11-18,2020-11-19,4,0.01085972850678733
2020-11-19,2020-11-20,7,0.007239819004524887
2020-11-20,2020-11-21,39,0.017194570135746608
2020-11-21,2020-11-22,3,0.009954751131221719
2020-11-22,2020-11-23,9,0.004524886877828055
2020-11-23,2020-11-24,0,0.013574660633484163
2020-11-24,2020-11-25,35,0.023529411764705882
2020-11-25,2020-11-26,7,0.005429864253393665
2020-11-26,2020-11-27,4,0.00904977375565611
2020-11-27,2020-11-28,2,0.012669683257918552
2020-11-28,2020-11-29,6,0.005429864253393665
2020-11-29,2020-11-30,20,0.0009049773755656109
2020-11-30,2020-12-01,4,0.008144796380090498
2020-12-01,2020-12-02,28,0.024434389140271493
2020-12-02,2020-12-03,2,0.012669683257918552
2020-12-03,2020-12-04,1,0.009954751131221719
2020-12-04,2020-12-05,25,0.024434389140271493
2020-12-05,2020-12-06,0,0.007239819004524887
2020-12-06,2020-12-07,5,0.004524886877828055
2020-12-07,2020-12-08,19,0.0027149321266968325
2020-12-08,2020-12-09,10,0.0027149321266968325
2020-12-09,2020-12-10,1,0.007239819004524887
2020-12-10,2020-12-11,7,0.007239819004524887
2020-12-11,2020-12-12,18,0.025339366515837104
2020-12-12,2020-12-13,17,0.008144796380090498
2020-12-13,2020-12-14,10,0.0009049773755656109
2020-12-14,2020-12-15,2,0.004524886877828055
2020-12-15,2020-12-16,14,0.02986425339366516
