data_inizio,data_fine,delay,frequenza_delay
2020-03-10,2020-03-10,12,0.005555555555555556
2020-03-11,2020-03-11,6,0.005555555555555556
2020-03-12,2020-03-12,8,0.005555555555555556
2020-03-12,2020-03-12,5,0.005555555555555556
2020-03-18,2020-03-18,3,0.005555555555555556
2020-03-18,2020-03-18,18,0.005555555555555556
2020-03-18,2020-03-18,4,0.005555555555555556
2020-03-19,2020-03-19,16,0.005555555555555556
2020-03-21,2020-03-21,6,0.005555555555555556
2020-03-21,2020-03-21,10,0.005555555555555556
2020-03-22,2020-03-22,3,0.005555555555555556
2020-03-22,2020-03-22,11,0.005555555555555556
2020-03-23,2020-03-23,8,0.005555555555555556
2020-03-23,2020-03-23,13,0.005555555555555556
2020-03-23,2020-03-23,29,0.005555555555555556
2020-03-24,2020-03-24,43,0.005555555555555556
2020-03-24,2020-03-24,15,0.005555555555555556
2020-03-26,2020-03-26,10,0.005555555555555556
2020-03-27,2020-03-27,4,0.005555555555555556
2020-03-27,2020-03-27,7,0.005555555555555556
2020-03-28,2020-03-28,30,0.005555555555555556
2020-03-30,2020-03-30,18,0.005555555555555556
2020-03-31,2020-03-31,5,0.005555555555555556
2020-04-01,2020-04-01,11,0.005555555555555556
2020-04-03,2020-04-03,9,0.005555555555555556
2020-04-04,2020-04-04,9,0.005555555555555556
2020-04-05,2020-04-05,21,0.005555555555555556
2020-04-06,2020-04-06,8,0.005555555555555556
2020-04-07,2020-04-07,6,0.005555555555555556
2020-04-08,2020-04-08,10,0.005555555555555556
2020-04-10,2020-04-10,12,0.005555555555555556
2020-04-14,2020-04-14,23,0.005555555555555556
2020-04-14,2020-04-14,51,0.005555555555555556
2020-04-16,2020-04-16,16,0.005555555555555556
2020-04-17,2020-04-17,15,0.005555555555555556
2020-04-21,2020-04-21,7,0.005555555555555556
2020-04-22,2020-04-22,12,0.005555555555555556
2020-04-23,2020-04-23,10,0.005555555555555556
2020-04-24,2020-04-24,12,0.005555555555555556
2020-04-25,2020-04-25,6,0.005555555555555556
2020-04-25,2020-04-25,22,0.005555555555555556
2020-04-28,2020-04-28,14,0.005555555555555556
2020-04-28,2020-04-28,32,0.005555555555555556
2020-04-28,2020-04-28,20,0.005555555555555556
2020-04-29,2020-04-29,22,0.005555555555555556
2020-04-30,2020-04-30,12,0.005555555555555556
2020-05-03,2020-05-03,34,0.005555555555555556
2020-05-04,2020-05-04,3,0.005555555555555556
2020-05-07,2020-05-07,24,0.005555555555555556
2020-05-09,2020-05-09,2,0.005555555555555556
2020-05-10,2020-05-10,23,0.005555555555555556
2020-05-11,2020-05-11,14,0.005555555555555556
2020-05-14,2020-05-14,23,0.005555555555555556
2020-05-15,2020-05-15,11,0.005555555555555556
2020-05-27,2020-05-27,5,0.005555555555555556
2020-06-01,2020-06-01,6,0.005555555555555556
2020-06-03,2020-06-03,8,0.005555555555555556
2020-06-05,2020-06-05,4,0.005555555555555556
2020-08-09,2020-08-09,3,0.005555555555555556
2020-08-13,2020-08-13,11,0.005555555555555556
2020-08-29,2020-08-29,8,0.005555555555555556
2020-09-03,2020-09-03,5,0.005555555555555556
2020-09-07,2020-09-07,3,0.005555555555555556
2020-09-08,2020-09-08,1,0.005555555555555556
2020-09-10,2020-09-10,11,0.005555555555555556
2020-09-14,2020-09-14,27,0.005555555555555556
2020-09-15,2020-09-15,10,0.005555555555555556
2020-09-16,2020-09-16,5,0.005555555555555556
2020-09-18,2020-09-18,4,0.005555555555555556
2020-09-23,2020-09-23,8,0.005555555555555556
2020-09-26,2020-09-26,6,0.005555555555555556
2020-09-27,2020-09-27,16,0.005555555555555556
2020-09-28,2020-09-28,9,0.005555555555555556
2020-09-30,2020-09-30,27,0.005555555555555556
2020-10-01,2020-10-01,15,0.005555555555555556
2020-10-07,2020-10-07,9,0.005555555555555556
2020-10-08,2020-10-08,15,0.005555555555555556
2020-10-09,2020-10-09,11,0.005555555555555556
2020-10-11,2020-10-11,4,0.005555555555555556
2020-10-12,2020-10-12,13,0.005555555555555556
2020-10-13,2020-10-13,6,0.005555555555555556
2020-10-14,2020-10-14,4,0.005555555555555556
2020-10-16,2020-10-16,17,0.005555555555555556
2020-10-17,2020-10-17,5,0.011111111111111112
2020-10-17,2020-10-17,26,0.005555555555555556
2020-10-18,2020-10-18,2,0.005555555555555556
2020-10-19,2020-10-19,3,0.005555555555555556
2020-10-20,2020-10-20,2,0.011111111111111112
2020-10-21,2020-10-21,12,0.005555555555555556
2020-10-22,2020-10-22,7,0.011111111111111112
2020-10-23,2020-10-23,18,0.005555555555555556
2020-10-24,2020-10-24,8,0.005555555555555556
2020-10-25,2020-10-25,9,0.011111111111111112
2020-10-26,2020-10-26,6,0.011111111111111112
2020-10-27,2020-10-27,7,0.011111111111111112
2020-10-27,2020-10-27,19,0.005555555555555556
2020-10-28,2020-10-28,11,0.005555555555555556
2020-10-29,2020-10-29,2,0.005555555555555556
2020-10-30,2020-10-30,15,0.005555555555555556
2020-10-30,2020-10-30,62,0.005555555555555556
2020-10-31,2020-10-31,6,0.005555555555555556
2020-10-31,2020-10-31,28,0.005555555555555556
2020-10-31,2020-10-31,44,0.005555555555555556
2020-10-31,2020-10-31,25,0.005555555555555556
2020-11-01,2020-11-01,9,0.011111111111111112
2020-11-02,2020-11-02,10,0.005555555555555556
2020-11-03,2020-11-03,17,0.005555555555555556
2020-11-03,2020-11-03,33,0.005555555555555556
2020-11-03,2020-11-03,36,0.005555555555555556
2020-11-04,2020-11-04,16,0.011111111111111112
2020-11-05,2020-11-05,9,0.016666666666666666
2020-11-05,2020-11-05,48,0.005555555555555556
2020-11-06,2020-11-06,37,0.005555555555555556
2020-11-06,2020-11-06,50,0.005555555555555556
2020-11-07,2020-11-07,12,0.011111111111111112
2020-11-08,2020-11-08,4,0.005555555555555556
2020-11-09,2020-11-09,10,0.011111111111111112
2020-11-10,2020-11-10,15,0.005555555555555556
2020-11-10,2020-11-10,46,0.005555555555555556
2020-11-11,2020-11-11,10,0.022222222222222223
2020-11-12,2020-11-12,40,0.005555555555555556
2020-11-13,2020-11-13,8,0.011111111111111112
2020-11-14,2020-11-14,15,0.011111111111111112
2020-11-14,2020-11-14,35,0.005555555555555556
2020-11-15,2020-11-15,5,0.011111111111111112
2020-11-16,2020-11-16,36,0.005555555555555556
2020-11-17,2020-11-17,22,0.005555555555555556
2020-11-18,2020-11-18,24,0.005555555555555556
2020-11-18,2020-11-18,31,0.005555555555555556
2020-11-19,2020-11-19,12,0.005555555555555556
2020-11-20,2020-11-20,26,0.005555555555555556
2020-11-21,2020-11-21,9,0.011111111111111112
2020-11-22,2020-11-22,3,0.005555555555555556
2020-11-23,2020-11-23,16,0.005555555555555556
2020-11-23,2020-11-23,38,0.005555555555555556
2020-11-24,2020-11-24,5,0.005555555555555556
2020-11-25,2020-11-25,11,0.011111111111111112
2020-11-26,2020-11-26,29,0.005555555555555556
2020-11-27,2020-11-27,11,0.022222222222222223
2020-11-28,2020-11-28,13,0.005555555555555556
2020-11-29,2020-11-29,14,0.005555555555555556
2020-11-30,2020-11-30,7,0.005555555555555556
2020-12-01,2020-12-01,10,0.005555555555555556
2020-12-02,2020-12-02,5,0.005555555555555556
2020-12-03,2020-12-03,12,0.005555555555555556
2020-12-04,2020-12-04,27,0.005555555555555556
2020-12-05,2020-12-05,15,0.005555555555555556
2020-12-06,2020-12-06,9,0.005555555555555556
2020-12-07,2020-12-07,24,0.005555555555555556
2020-12-08,2020-12-08,11,0.005555555555555556
2020-12-09,2020-12-09,21,0.005555555555555556
2020-12-10,2020-12-10,9,0.005555555555555556
2020-12-11,2020-12-11,7,0.005555555555555556
2020-12-12,2020-12-12,19,0.005555555555555556
2020-12-13,2020-12-13,5,0.005555555555555556
2020-12-14,2020-12-14,8,0.005555555555555556
2020-12-15,2020-12-15,8,0.005555555555555556
