data_inizio,data_fine,delay,frequenza_delay
2020-02-19,2020-02-19,12,0.0017482517482517483
2020-02-21,2020-02-21,12,0.0017482517482517483
2020-02-22,2020-02-22,5,0.0017482517482517483
2020-02-23,2020-02-23,14,0.0017482517482517483
2020-02-26,2020-02-26,1,0.0017482517482517483
2020-02-26,2020-02-26,6,0.0017482517482517483
2020-02-26,2020-02-26,8,0.0017482517482517483
2020-02-26,2020-02-26,10,0.0017482517482517483
2020-02-27,2020-02-27,14,0.0017482517482517483
2020-02-28,2020-02-28,3,0.0017482517482517483
2020-02-28,2020-02-28,17,0.0017482517482517483
2020-02-29,2020-02-29,9,0.0017482517482517483
2020-03-01,2020-03-01,4,0.0017482517482517483
2020-03-01,2020-03-01,15,0.0034965034965034965
2020-03-01,2020-03-01,21,0.0017482517482517483
2020-03-02,2020-03-02,3,0.0017482517482517483
2020-03-02,2020-03-02,13,0.0017482517482517483
2020-03-03,2020-03-03,7,0.0017482517482517483
2020-03-03,2020-03-03,16,0.0017482517482517483
2020-03-04,2020-03-04,3,0.0017482517482517483
2020-03-05,2020-03-05,2,0.0017482517482517483
2020-03-05,2020-03-05,11,0.005244755244755245
2020-03-06,2020-03-06,3,0.0034965034965034965
2020-03-06,2020-03-06,18,0.0017482517482517483
2020-03-07,2020-03-07,1,0.0017482517482517483
2020-03-07,2020-03-07,20,0.0017482517482517483
2020-03-08,2020-03-08,3,0.0017482517482517483
2020-03-09,2020-03-09,6,0.0034965034965034965
2020-03-10,2020-03-10,3,0.005244755244755245
2020-03-11,2020-03-11,5,0.0034965034965034965
2020-03-12,2020-03-12,1,0.005244755244755245
2020-03-13,2020-03-13,2,0.01048951048951049
2020-03-14,2020-03-14,2,0.005244755244755245
2020-03-15,2020-03-15,2,0.0017482517482517483
2020-03-16,2020-03-16,3,0.01048951048951049
2020-03-17,2020-03-17,2,0.005244755244755245
2020-03-18,2020-03-18,2,0.0034965034965034965
2020-03-19,2020-03-19,1,0.005244755244755245
2020-03-20,2020-03-20,3,0.006993006993006993
2020-03-21,2020-03-21,2,0.0034965034965034965
2020-03-22,2020-03-22,1,0.0034965034965034965
2020-03-23,2020-03-23,2,0.005244755244755245
2020-03-24,2020-03-24,2,0.006993006993006993
2020-03-24,2020-03-24,19,0.0017482517482517483
2020-03-25,2020-03-25,2,0.01048951048951049
2020-03-26,2020-03-26,1,0.006993006993006993
2020-03-27,2020-03-27,2,0.0017482517482517483
2020-03-28,2020-03-28,1,0.006993006993006993
2020-03-29,2020-03-29,1,0.0017482517482517483
2020-03-30,2020-03-30,1,0.0034965034965034965
2020-03-31,2020-03-31,3,0.005244755244755245
2020-04-01,2020-04-01,2,0.0034965034965034965
2020-04-02,2020-04-02,4,0.0034965034965034965
2020-04-03,2020-04-03,2,0.006993006993006993
2020-04-04,2020-04-04,4,0.008741258741258742
2020-04-05,2020-04-05,4,0.0017482517482517483
2020-04-06,2020-04-06,2,0.0034965034965034965
2020-04-07,2020-04-07,1,0.0034965034965034965
2020-04-08,2020-04-08,1,0.008741258741258742
2020-04-09,2020-04-09,1,0.008741258741258742
2020-04-10,2020-04-10,1,0.0017482517482517483
2020-04-11,2020-04-11,2,0.005244755244755245
2020-04-12,2020-04-12,2,0.0034965034965034965
2020-04-13,2020-04-13,2,0.006993006993006993
2020-04-14,2020-04-14,4,0.005244755244755245
2020-04-15,2020-04-15,4,0.006993006993006993
2020-04-16,2020-04-16,1,0.0034965034965034965
2020-04-17,2020-04-17,2,0.0017482517482517483
2020-04-18,2020-04-18,1,0.0034965034965034965
2020-04-19,2020-04-19,1,0.0034965034965034965
2020-04-20,2020-04-20,1,0.0017482517482517483
2020-04-21,2020-04-21,1,0.005244755244755245
2020-04-22,2020-04-22,4,0.0034965034965034965
2020-04-23,2020-04-23,2,0.0034965034965034965
2020-04-24,2020-04-24,1,0.0017482517482517483
2020-04-25,2020-04-25,3,0.006993006993006993
2020-04-26,2020-04-26,2,0.0017482517482517483
2020-04-27,2020-04-27,1,0.0017482517482517483
2020-04-28,2020-04-28,5,0.0017482517482517483
2020-04-29,2020-04-29,4,0.0017482517482517483
2020-04-30,2020-04-30,4,0.0034965034965034965
2020-05-01,2020-05-01,1,0.0017482517482517483
2020-05-02,2020-05-02,5,0.0017482517482517483
2020-05-03,2020-05-03,3,0.0017482517482517483
2020-05-04,2020-05-04,4,0.0017482517482517483
2020-05-05,2020-05-05,1,0.0017482517482517483
2020-05-06,2020-05-06,3,0.0017482517482517483
2020-05-07,2020-05-07,4,0.0017482517482517483
2020-05-08,2020-05-08,4,0.0017482517482517483
2020-05-09,2020-05-09,5,0.0017482517482517483
2020-05-10,2020-05-10,12,0.0017482517482517483
2020-05-11,2020-05-11,9,0.0017482517482517483
2020-05-12,2020-05-12,2,0.0017482517482517483
2020-05-13,2020-05-13,1,0.0017482517482517483
2020-05-14,2020-05-14,2,0.0034965034965034965
2020-05-15,2020-05-15,5,0.0017482517482517483
2020-05-16,2020-05-16,5,0.0034965034965034965
2020-05-17,2020-05-17,2,0.0017482517482517483
2020-05-19,2020-05-19,3,0.0017482517482517483
2020-05-21,2020-05-21,10,0.0034965034965034965
2020-05-22,2020-05-22,6,0.0017482517482517483
2020-05-23,2020-05-23,1,0.0017482517482517483
2020-05-24,2020-05-24,7,0.0017482517482517483
2020-05-25,2020-05-25,4,0.0017482517482517483
2020-05-26,2020-05-26,2,0.0017482517482517483
2020-05-27,2020-05-27,3,0.0017482517482517483
2020-05-30,2020-05-30,7,0.0017482517482517483
2020-05-31,2020-05-31,11,0.0017482517482517483
2020-06-01,2020-06-01,14,0.0017482517482517483
2020-06-03,2020-06-03,1,0.0017482517482517483
2020-06-04,2020-06-04,5,0.0017482517482517483
2020-06-05,2020-06-05,3,0.0017482517482517483
2020-06-08,2020-06-08,5,0.0017482517482517483
2020-06-10,2020-06-10,9,0.0017482517482517483
2020-06-13,2020-06-13,4,0.0017482517482517483
2020-06-24,2020-06-24,1,0.0017482517482517483
2020-07-02,2020-07-02,4,0.0017482517482517483
2020-07-06,2020-07-06,8,0.0017482517482517483
2020-07-15,2020-07-15,5,0.0017482517482517483
2020-07-16,2020-07-16,12,0.0017482517482517483
2020-07-18,2020-07-18,1,0.0017482517482517483
2020-07-19,2020-07-19,1,0.0017482517482517483
2020-08-07,2020-08-07,16,0.0017482517482517483
2020-08-14,2020-08-14,5,0.0017482517482517483
2020-08-15,2020-08-15,5,0.0017482517482517483
2020-08-19,2020-08-19,3,0.0017482517482517483
2020-08-20,2020-08-20,2,0.0017482517482517483
2020-08-22,2020-08-22,14,0.0017482517482517483
2020-08-23,2020-08-23,4,0.0017482517482517483
2020-08-24,2020-08-24,12,0.0017482517482517483
2020-08-25,2020-08-25,5,0.0017482517482517483
2020-08-26,2020-08-26,1,0.0017482517482517483
2020-08-27,2020-08-27,5,0.0017482517482517483
2020-08-28,2020-08-28,1,0.0017482517482517483
2020-08-31,2020-08-31,10,0.0017482517482517483
2020-09-01,2020-09-01,7,0.0017482517482517483
2020-09-02,2020-09-02,9,0.0017482517482517483
2020-09-03,2020-09-03,1,0.0034965034965034965
2020-09-04,2020-09-04,4,0.0017482517482517483
2020-09-06,2020-09-06,4,0.0017482517482517483
2020-09-07,2020-09-07,4,0.0017482517482517483
2020-09-11,2020-09-11,8,0.0017482517482517483
